Assignee,Task_Tag,task_count
A-23288,Design & API Evolution,1
A-23288,Documentation,1
A-23289,Bug fixing / Maintenance,1
A-2329,Bug fixing / Maintenance,16
A-2329,Feature / Improvement Implementation,6
A-2329,Other,3
A-23290,Bug fixing / Maintenance,1
A-23291,Feature / Improvement Implementation,2
A-23292,Bug fixing / Maintenance,1
A-23295,Bug fixing / Maintenance,1
A-23299,Bug fixing / Maintenance,1
A-233,Testing & Verification,1
A-2330,Bug fixing / Maintenance,1
A-2330,Design & API Evolution,1
A-2330,Feature / Improvement Implementation,1
A-23300,Documentation,1
A-23300,Feature / Improvement Implementation,1
A-23301,Bug fixing / Maintenance,1
A-23303,Bug fixing / Maintenance,2
A-23303,Documentation,1
A-23304,Bug fixing / Maintenance,3
A-23304,Build & Release Engineering,1
A-23304,Feature / Improvement Implementation,1
A-23305,Bug fixing / Maintenance,1
A-23306,Bug fixing / Maintenance,2
A-23307,Feature / Improvement Implementation,1
A-23308,Bug fixing / Maintenance,2
A-23308,Build & Release Engineering,1
A-23308,Feature / Improvement Implementation,1
A-2331,Feature / Improvement Implementation,1
A-23310,Feature / Improvement Implementation,2
A-23310,Bug fixing / Maintenance,1
A-23312,Feature / Improvement Implementation,2
A-23313,Bug fixing / Maintenance,2
A-23314,Bug fixing / Maintenance,1
A-23315,Feature / Improvement Implementation,1
A-23316,Bug fixing / Maintenance,1
A-23317,Bug fixing / Maintenance,1
A-23318,Bug fixing / Maintenance,2
A-23318,Design & API Evolution,1
A-23318,Performance Optimization,1
A-23319,Bug fixing / Maintenance,1
A-2332,Bug fixing / Maintenance,9
A-2332,Testing & Verification,2
A-23320,Bug fixing / Maintenance,1
A-23321,Feature / Improvement Implementation,1
A-23326,Testing & Verification,1
A-23327,Bug fixing / Maintenance,1
A-23327,Project / General Task,1
A-2333,Bug fixing / Maintenance,2
A-23331,Bug fixing / Maintenance,1
A-23331,Documentation,1
A-23334,Bug fixing / Maintenance,1
A-23336,Bug fixing / Maintenance,2
A-23336,Feature / Improvement Implementation,1
A-23337,Bug fixing / Maintenance,1
A-23338,Bug fixing / Maintenance,1
A-23339,Bug fixing / Maintenance,1
A-2334,Other,1
A-23340,Feature / Improvement Implementation,1
A-23341,Bug fixing / Maintenance,1
A-23341,Other,1
A-23341,Testing & Verification,1
A-23342,Feature / Improvement Implementation,1
A-23346,Testing & Verification,1
A-23347,Feature / Improvement Implementation,1
A-23348,Bug fixing / Maintenance,1
A-23349,Bug fixing / Maintenance,1
A-2335,Bug fixing / Maintenance,1
A-23350,Bug fixing / Maintenance,1
A-23351,Feature / Improvement Implementation,3
A-23351,Bug fixing / Maintenance,1
A-23351,Build & Release Engineering,1
A-23351,Documentation,1
A-23352,Bug fixing / Maintenance,1
A-23354,Testing & Verification,2
A-23354,Bug fixing / Maintenance,1
A-23355,Other,1
A-23356,Bug fixing / Maintenance,1
A-23357,Bug fixing / Maintenance,1
A-23358,Bug fixing / Maintenance,1
A-23359,Bug fixing / Maintenance,1
A-23359,Performance Optimization,1
A-2336,Bug fixing / Maintenance,1
A-23360,Bug fixing / Maintenance,5
A-23360,Feature / Improvement Implementation,1
A-23361,Bug fixing / Maintenance,1
A-23362,Bug fixing / Maintenance,8
A-23362,Documentation,2
A-23362,Testing & Verification,1
A-23363,Bug fixing / Maintenance,17
A-23363,Feature / Improvement Implementation,2
A-23363,Build & Release Engineering,1
A-23363,Documentation,1
A-23364,Bug fixing / Maintenance,1
A-23364,Documentation,1
A-23366,Testing & Verification,10
A-23366,Bug fixing / Maintenance,5
A-23366,Documentation,2
A-23367,Bug fixing / Maintenance,1
A-23367,Documentation,1
A-23368,Bug fixing / Maintenance,1
A-23369,Bug fixing / Maintenance,2
A-23369,Testing & Verification,1
A-2337,Bug fixing / Maintenance,2
A-2337,Project / General Task,2
A-2337,Design & API Evolution,1
A-2337,Feature / Improvement Implementation,1
A-23370,Bug fixing / Maintenance,1
A-23371,Bug fixing / Maintenance,1
A-23372,Bug fixing / Maintenance,5
A-23372,Feature / Improvement Implementation,4
A-23372,Documentation,2
A-23372,Build & Release Engineering,1
A-23372,Design & API Evolution,1
A-23372,Testing & Verification,1
A-23373,Bug fixing / Maintenance,1
A-23373,Feature / Improvement Implementation,1
A-23374,Bug fixing / Maintenance,1
A-23375,Bug fixing / Maintenance,2
A-23376,Bug fixing / Maintenance,5
A-23376,Feature / Improvement Implementation,3
A-23376,Documentation,1
A-23376,Testing & Verification,1
A-23377,Bug fixing / Maintenance,2
A-23378,Bug fixing / Maintenance,1
A-23379,Feature / Improvement Implementation,1
A-2338,Bug fixing / Maintenance,1
A-23380,Bug fixing / Maintenance,1
A-23381,Feature / Improvement Implementation,1
A-23382,Bug fixing / Maintenance,1
A-23382,Documentation,1
A-23383,Documentation,1
A-23383,Feature / Improvement Implementation,1
A-23384,Bug fixing / Maintenance,1
A-23385,Bug fixing / Maintenance,1
A-23386,Feature / Improvement Implementation,3
A-23386,Other,2
A-23387,Other,1
A-23388,Bug fixing / Maintenance,1
A-23389,Bug fixing / Maintenance,1
A-2339,Bug fixing / Maintenance,2
A-2339,Feature / Improvement Implementation,2
A-2339,Design & API Evolution,1
A-23391,Feature / Improvement Implementation,5
A-23391,Testing & Verification,1
A-23392,Bug fixing / Maintenance,1
A-23393,Bug fixing / Maintenance,1
A-23394,Bug fixing / Maintenance,1
A-23395,Bug fixing / Maintenance,1
A-23396,Bug fixing / Maintenance,1
A-23397,Bug fixing / Maintenance,2
A-23399,Other,4
A-23399,Bug fixing / Maintenance,2
A-23399,Feature / Improvement Implementation,1
A-234,Bug fixing / Maintenance,1
A-2340,Documentation,1
A-23400,Bug fixing / Maintenance,1
A-23401,Bug fixing / Maintenance,2
A-23401,Build & Release Engineering,1
A-23402,Bug fixing / Maintenance,1
A-23403,Bug fixing / Maintenance,2
A-23404,Bug fixing / Maintenance,1
A-23405,Feature / Improvement Implementation,2
A-23406,Bug fixing / Maintenance,1
A-23406,Feature / Improvement Implementation,1
A-23407,Bug fixing / Maintenance,1
A-23408,Bug fixing / Maintenance,1
A-2341,Bug fixing / Maintenance,1
A-23411,Feature / Improvement Implementation,2
A-23412,Bug fixing / Maintenance,1
A-23413,Bug fixing / Maintenance,3
A-23415,Bug fixing / Maintenance,1
A-23417,Bug fixing / Maintenance,1
A-23418,Bug fixing / Maintenance,1
A-23419,Bug fixing / Maintenance,5
A-23419,Feature / Improvement Implementation,2
A-23419,Design & API Evolution,1
A-2342,Bug fixing / Maintenance,1
A-2342,Build & Release Engineering,1
A-23420,Bug fixing / Maintenance,1
A-23421,Bug fixing / Maintenance,2
A-23422,Bug fixing / Maintenance,1
A-23424,Bug fixing / Maintenance,1
A-23426,Bug fixing / Maintenance,5
A-23426,Feature / Improvement Implementation,2
A-23427,Bug fixing / Maintenance,1
A-23427,Documentation,1
A-23428,Bug fixing / Maintenance,1
A-23429,Bug fixing / Maintenance,6
A-23429,Build & Release Engineering,1
A-23429,Documentation,1
A-2343,Bug fixing / Maintenance,1
A-2343,Feature / Improvement Implementation,1
A-2343,Testing & Verification,1
A-23430,Bug fixing / Maintenance,2
A-23431,Feature / Improvement Implementation,1
A-23432,Feature / Improvement Implementation,3
A-23433,Bug fixing / Maintenance,1
A-23434,Bug fixing / Maintenance,10
A-23434,Testing & Verification,6
A-23434,Documentation,3
A-23435,Feature / Improvement Implementation,1
A-23436,Bug fixing / Maintenance,3
A-2344,Bug fixing / Maintenance,11
A-2344,Feature / Improvement Implementation,4
A-2344,Build & Release Engineering,3
A-2344,Documentation,3
A-2344,Design & API Evolution,2
A-23440,Bug fixing / Maintenance,1
A-23441,Bug fixing / Maintenance,1
A-23442,Bug fixing / Maintenance,3
A-23443,Bug fixing / Maintenance,1
A-23444,Bug fixing / Maintenance,1
A-23445,Bug fixing / Maintenance,2
A-23446,Testing & Verification,1
A-23448,Bug fixing / Maintenance,2
A-23448,Documentation,1
A-23449,Bug fixing / Maintenance,1
A-23449,Build & Release Engineering,1
A-2345,Design & API Evolution,1
A-2345,Feature / Improvement Implementation,1
A-23450,Bug fixing / Maintenance,3
A-23450,Feature / Improvement Implementation,3
A-23451,Bug fixing / Maintenance,1
A-23452,Bug fixing / Maintenance,1
A-23453,Bug fixing / Maintenance,4
A-23453,Testing & Verification,3
A-23453,Documentation,1
A-23455,Feature / Improvement Implementation,1
A-23456,Feature / Improvement Implementation,1
A-23457,Other,1
A-23458,Bug fixing / Maintenance,7
A-23458,Build & Release Engineering,1
A-23458,Documentation,1
A-23458,Feature / Improvement Implementation,1
A-2346,Bug fixing / Maintenance,1
A-2346,Feature / Improvement Implementation,1
A-23460,Bug fixing / Maintenance,1
A-23462,Bug fixing / Maintenance,1
A-23465,Feature / Improvement Implementation,2
A-23465,Bug fixing / Maintenance,1
A-23465,Build & Release Engineering,1
A-23466,Bug fixing / Maintenance,1
A-23466,Feature / Improvement Implementation,1
A-23467,Bug fixing / Maintenance,1
A-23468,Bug fixing / Maintenance,1
A-23468,Build & Release Engineering,1
A-23469,Bug fixing / Maintenance,6
A-23469,Documentation,4
A-23469,Testing & Verification,1
A-2347,Bug fixing / Maintenance,339
A-2347,Feature / Improvement Implementation,131
A-2347,Build & Release Engineering,68
A-2347,Testing & Verification,59
A-2347,Other,49
A-2347,Documentation,42
A-2347,Design & API Evolution,37
A-2347,Project / General Task,10
A-2347,Code Refactoring & Cleanup,6
A-2347,Performance Optimization,6
A-23470,Bug fixing / Maintenance,4
A-23471,Bug fixing / Maintenance,1
A-23472,Bug fixing / Maintenance,1
A-23475,Bug fixing / Maintenance,1
A-23476,Bug fixing / Maintenance,2
A-23477,Bug fixing / Maintenance,1
A-23478,Bug fixing / Maintenance,1
A-23479,Bug fixing / Maintenance,1
A-2348,Bug fixing / Maintenance,1
A-2348,Design & API Evolution,1
A-23481,Feature / Improvement Implementation,2
A-23481,Documentation,1
A-23482,Bug fixing / Maintenance,1
A-23484,Bug fixing / Maintenance,1
A-23485,Bug fixing / Maintenance,3
A-23487,Feature / Improvement Implementation,4
A-23487,Bug fixing / Maintenance,1
A-2349,Bug fixing / Maintenance,1
A-23490,Bug fixing / Maintenance,1
A-23491,Build & Release Engineering,1
A-23491,Feature / Improvement Implementation,1
A-23491,Other,1
A-23492,Bug fixing / Maintenance,2
A-23493,Feature / Improvement Implementation,1
A-23493,Other,1
A-23494,Bug fixing / Maintenance,16
A-23494,Documentation,2
A-23494,Feature / Improvement Implementation,2
A-23495,Bug fixing / Maintenance,3
A-23495,Testing & Verification,2
A-23495,Documentation,1
A-23497,Bug fixing / Maintenance,1
A-23498,Bug fixing / Maintenance,2
A-23499,Testing & Verification,1
A-235,Feature / Improvement Implementation,90
A-235,Bug fixing / Maintenance,72
A-235,Documentation,31
A-235,Design & API Evolution,20
A-235,Build & Release Engineering,12
A-235,Testing & Verification,10
A-235,Other,5
A-235,Project / General Task,4
A-235,Code Refactoring & Cleanup,2
A-2350,Bug fixing / Maintenance,1
A-23500,Bug fixing / Maintenance,1
A-23501,Bug fixing / Maintenance,1
A-23502,Bug fixing / Maintenance,1
A-23503,Documentation,1
A-23504,Bug fixing / Maintenance,3
A-23506,Bug fixing / Maintenance,2
A-23506,Build & Release Engineering,2
A-23506,Feature / Improvement Implementation,1
A-23506,Testing & Verification,1
A-23507,Bug fixing / Maintenance,1
A-23508,Bug fixing / Maintenance,2
A-23509,Bug fixing / Maintenance,1
A-2351,Bug fixing / Maintenance,6
A-2351,Feature / Improvement Implementation,3
A-2351,Testing & Verification,1
A-23510,Bug fixing / Maintenance,1
A-23511,Other,1
A-23512,Bug fixing / Maintenance,1
A-23513,Bug fixing / Maintenance,4
A-23514,Performance Optimization,1
A-23515,Bug fixing / Maintenance,1
A-23516,Bug fixing / Maintenance,3
A-23516,Documentation,1
A-23516,Testing & Verification,1
A-23517,Bug fixing / Maintenance,2
A-23517,Feature / Improvement Implementation,2
A-23517,Design & API Evolution,1
A-23517,Project / General Task,1
A-23517,Testing & Verification,1
A-23519,Bug fixing / Maintenance,1
A-2352,Feature / Improvement Implementation,1
A-23520,Bug fixing / Maintenance,2
A-23520,Testing & Verification,2
A-23520,Performance Optimization,1
A-23522,Bug fixing / Maintenance,1
A-23522,Feature / Improvement Implementation,1
A-23523,Other,2
A-23524,Bug fixing / Maintenance,1
A-23525,Bug fixing / Maintenance,20
A-23525,Documentation,2
A-23526,Bug fixing / Maintenance,1
A-23527,Bug fixing / Maintenance,1
A-23528,Bug fixing / Maintenance,2
A-2353,Feature / Improvement Implementation,1
A-23530,Bug fixing / Maintenance,1
A-23531,Bug fixing / Maintenance,1
A-23532,Bug fixing / Maintenance,1
A-23533,Bug fixing / Maintenance,1
A-23536,Feature / Improvement Implementation,4
A-23536,Bug fixing / Maintenance,3
A-23536,Design & API Evolution,1
A-23536,Documentation,1
A-23536,Other,1
A-23539,Bug fixing / Maintenance,1
A-2354,Bug fixing / Maintenance,112
A-2354,Testing & Verification,56
A-2354,Feature / Improvement Implementation,26
A-2354,Build & Release Engineering,18
A-2354,Documentation,13
A-2354,Other,5
A-2354,Design & API Evolution,3
A-23540,Bug fixing / Maintenance,7
A-23542,Bug fixing / Maintenance,1
A-23543,Feature / Improvement Implementation,3
A-23544,Bug fixing / Maintenance,13
A-23544,Build & Release Engineering,2
A-23544,Documentation,2
A-23544,Feature / Improvement Implementation,2
A-23544,Testing & Verification,1
A-23545,Feature / Improvement Implementation,3
A-23545,Bug fixing / Maintenance,2
A-23546,Documentation,1
A-23548,Bug fixing / Maintenance,27
A-23548,Feature / Improvement Implementation,16
A-23548,Build & Release Engineering,5
A-23548,Design & API Evolution,2
A-23548,Testing & Verification,2
A-23548,Code Refactoring & Cleanup,1
A-23548,Documentation,1
A-23548,Project / General Task,1
A-2355,Design & API Evolution,3
A-2355,Build & Release Engineering,1
A-2355,Documentation,1
A-2355,Feature / Improvement Implementation,1
A-23551,Bug fixing / Maintenance,1
A-23552,Bug fixing / Maintenance,1
A-23553,Bug fixing / Maintenance,1
A-23554,Bug fixing / Maintenance,1
A-23557,Bug fixing / Maintenance,1
A-23558,Bug fixing / Maintenance,1
A-23559,Bug fixing / Maintenance,1
A-2356,Bug fixing / Maintenance,17
A-2356,Feature / Improvement Implementation,3
A-2356,Documentation,2
A-2356,Performance Optimization,1
A-23561,Bug fixing / Maintenance,1
A-23562,Bug fixing / Maintenance,1
A-23563,Bug fixing / Maintenance,1
A-23565,Bug fixing / Maintenance,2
A-23565,Documentation,2
A-23565,Testing & Verification,1
A-23566,Bug fixing / Maintenance,1
A-23567,Bug fixing / Maintenance,1
A-23568,Documentation,1
A-23569,Documentation,3
A-23569,Bug fixing / Maintenance,2
A-23569,Feature / Improvement Implementation,2
A-23569,Build & Release Engineering,1
A-2357,Bug fixing / Maintenance,90
A-2357,Feature / Improvement Implementation,10
A-2357,Testing & Verification,6
A-2357,Design & API Evolution,4
A-2357,Build & Release Engineering,1
A-2357,Performance Optimization,1
A-2357,Project / General Task,1
A-23571,Bug fixing / Maintenance,6
A-23572,Bug fixing / Maintenance,1
A-23573,Bug fixing / Maintenance,2
A-23574,Feature / Improvement Implementation,9
A-23574,Bug fixing / Maintenance,4
A-23574,Documentation,4
A-23574,Build & Release Engineering,1
A-23575,Bug fixing / Maintenance,10
A-23575,Code Refactoring & Cleanup,1
A-23575,Design & API Evolution,1
A-23575,Documentation,1
A-23575,Feature / Improvement Implementation,1
A-23576,Bug fixing / Maintenance,1
A-23576,Feature / Improvement Implementation,1
A-23577,Feature / Improvement Implementation,1
A-23578,Bug fixing / Maintenance,3
A-23578,Build & Release Engineering,1
A-23579,Bug fixing / Maintenance,1
A-2358,Bug fixing / Maintenance,150
A-2358,Feature / Improvement Implementation,74
A-2358,Testing & Verification,46
A-2358,Build & Release Engineering,24
A-2358,Design & API Evolution,13
A-2358,Documentation,9
A-2358,Other,9
A-2358,Code Refactoring & Cleanup,8
A-23580,Bug fixing / Maintenance,1
A-23581,Feature / Improvement Implementation,2
A-23581,Bug fixing / Maintenance,1
A-23582,Bug fixing / Maintenance,1
A-23583,Build & Release Engineering,1
A-23584,Feature / Improvement Implementation,1
A-23588,Bug fixing / Maintenance,2
A-23589,Feature / Improvement Implementation,2
A-23589,Bug fixing / Maintenance,1
A-2359,Bug fixing / Maintenance,4
A-2359,Feature / Improvement Implementation,2
A-2359,Other,1
A-23590,Bug fixing / Maintenance,1
A-23590,Documentation,1
A-23591,Bug fixing / Maintenance,1
A-23593,Bug fixing / Maintenance,1
A-23593,Project / General Task,1
A-23594,Bug fixing / Maintenance,2
A-23595,Bug fixing / Maintenance,1
A-23596,Bug fixing / Maintenance,2
A-23597,Bug fixing / Maintenance,1
A-23597,Testing & Verification,1
A-23599,Bug fixing / Maintenance,8
A-23599,Feature / Improvement Implementation,8
A-23599,Documentation,4
A-23599,Design & API Evolution,2
A-23599,Performance Optimization,1
A-23599,Project / General Task,1
A-236,Design & API Evolution,2
A-236,Bug fixing / Maintenance,1
A-2360,Bug fixing / Maintenance,28
A-2360,Build & Release Engineering,3
A-2360,Feature / Improvement Implementation,3
A-2360,Testing & Verification,3
A-2360,Design & API Evolution,2
A-2360,Other,2
A-23600,Bug fixing / Maintenance,3
A-23600,Build & Release Engineering,1
A-23600,Design & API Evolution,1
A-23600,Feature / Improvement Implementation,1
A-23601,Bug fixing / Maintenance,9
A-23601,Testing & Verification,3
A-23601,Documentation,1
A-23602,Bug fixing / Maintenance,1
A-23603,Build & Release Engineering,1
A-23604,Documentation,2
A-23604,Testing & Verification,2
A-23604,Bug fixing / Maintenance,1
A-23605,Bug fixing / Maintenance,1
A-23606,Bug fixing / Maintenance,1
A-23607,Bug fixing / Maintenance,1
A-23608,Bug fixing / Maintenance,1
A-2361,Bug fixing / Maintenance,1
A-23612,Bug fixing / Maintenance,1
A-23614,Bug fixing / Maintenance,1
A-23615,Feature / Improvement Implementation,2
A-23615,Bug fixing / Maintenance,1
A-23616,Bug fixing / Maintenance,2
A-23617,Documentation,1
A-23619,Feature / Improvement Implementation,4
A-23619,Bug fixing / Maintenance,3
A-23619,Build & Release Engineering,2
A-23619,Code Refactoring & Cleanup,1
A-23619,Design & API Evolution,1
A-2362,Build & Release Engineering,1
A-2362,Feature / Improvement Implementation,1
A-23620,Feature / Improvement Implementation,1
A-23622,Bug fixing / Maintenance,1
A-23625,Bug fixing / Maintenance,2
A-23626,Bug fixing / Maintenance,1
A-23627,Feature / Improvement Implementation,1
A-23629,Bug fixing / Maintenance,1
A-23629,Feature / Improvement Implementation,1
A-2363,Bug fixing / Maintenance,1
A-2363,Documentation,1
A-23634,Bug fixing / Maintenance,1
A-23634,Feature / Improvement Implementation,1
A-23635,Testing & Verification,2
A-23635,Documentation,1
A-23636,Documentation,1
A-23637,Other,2
A-23637,Project / General Task,2
A-23637,Bug fixing / Maintenance,1
A-23637,Feature / Improvement Implementation,1
A-23638,Testing & Verification,17
A-23638,Bug fixing / Maintenance,1
A-23639,Bug fixing / Maintenance,1
A-2364,Feature / Improvement Implementation,7
A-2364,Bug fixing / Maintenance,5
A-2364,Design & API Evolution,1
A-2364,Documentation,1
A-2364,Testing & Verification,1
A-23640,Bug fixing / Maintenance,1
A-23640,Testing & Verification,1
A-23641,Testing & Verification,1
A-23643,Bug fixing / Maintenance,1
A-23643,Testing & Verification,1
A-23644,Testing & Verification,5
A-23644,Bug fixing / Maintenance,4
A-23645,Testing & Verification,1
A-23647,Documentation,1
A-23647,Testing & Verification,1
A-23648,Testing & Verification,1
A-23649,Other,1
A-2365,Bug fixing / Maintenance,6
A-2365,Feature / Improvement Implementation,3
A-23650,Testing & Verification,1
A-23651,Feature / Improvement Implementation,1
A-23654,Bug fixing / Maintenance,1
A-23655,Feature / Improvement Implementation,2
A-23657,Bug fixing / Maintenance,2
A-23658,Bug fixing / Maintenance,2
A-23658,Feature / Improvement Implementation,1
A-23659,Bug fixing / Maintenance,2
A-23659,Feature / Improvement Implementation,2
A-2366,Feature / Improvement Implementation,1
A-2366,Testing & Verification,1
A-23660,Bug fixing / Maintenance,2
A-23661,Bug fixing / Maintenance,7
A-23661,Documentation,1
A-23661,Feature / Improvement Implementation,1
A-23661,Performance Optimization,1
A-23661,Project / General Task,1
A-23662,Bug fixing / Maintenance,1
A-23662,Documentation,1
A-23663,Bug fixing / Maintenance,22
A-23664,Bug fixing / Maintenance,1
A-23664,Feature / Improvement Implementation,1
A-23665,Bug fixing / Maintenance,2
A-23666,Design & API Evolution,1
A-23667,Bug fixing / Maintenance,2
A-23669,Documentation,1
A-2367,Bug fixing / Maintenance,3
A-2367,Design & API Evolution,2
A-2367,Feature / Improvement Implementation,1
A-2367,Testing & Verification,1
A-23670,Bug fixing / Maintenance,2
A-23672,Bug fixing / Maintenance,1
A-23674,Bug fixing / Maintenance,1
A-23675,Bug fixing / Maintenance,2
A-23676,Other,1
A-23678,Bug fixing / Maintenance,1
A-2368,Bug fixing / Maintenance,13
A-2368,Feature / Improvement Implementation,6
A-2368,Build & Release Engineering,4
A-2368,Design & API Evolution,2
A-2368,Documentation,1
A-2368,Performance Optimization,1
A-2368,Testing & Verification,1
A-23680,Bug fixing / Maintenance,9
A-23681,Bug fixing / Maintenance,1
A-23684,Bug fixing / Maintenance,1
A-23686,Bug fixing / Maintenance,2
A-2369,Feature / Improvement Implementation,2
A-2369,Bug fixing / Maintenance,1
A-2369,Build & Release Engineering,1
A-23693,Feature / Improvement Implementation,1
A-23695,Feature / Improvement Implementation,1
A-23696,Bug fixing / Maintenance,1
A-23696,Feature / Improvement Implementation,1
A-23697,Bug fixing / Maintenance,1
A-23699,Bug fixing / Maintenance,1
A-237,Feature / Improvement Implementation,10
A-237,Bug fixing / Maintenance,8
A-237,Testing & Verification,4
A-237,Design & API Evolution,2
A-237,Documentation,2
A-237,Performance Optimization,2
A-2370,Bug fixing / Maintenance,1
A-2370,Feature / Improvement Implementation,1
A-23700,Feature / Improvement Implementation,1
A-23701,Bug fixing / Maintenance,9
A-23701,Feature / Improvement Implementation,1
A-23702,Bug fixing / Maintenance,1
A-23703,Feature / Improvement Implementation,1
A-23704,Build & Release Engineering,2
A-23706,Documentation,1
A-23708,Design & API Evolution,1
A-23709,Bug fixing / Maintenance,1
A-23709,Documentation,1
A-2371,Bug fixing / Maintenance,2
A-23710,Feature / Improvement Implementation,1
A-23716,Bug fixing / Maintenance,4
A-23716,Feature / Improvement Implementation,2
A-23716,Design & API Evolution,1
A-23716,Project / General Task,1
A-23718,Bug fixing / Maintenance,1
A-2372,Bug fixing / Maintenance,1
A-23720,Feature / Improvement Implementation,1
A-23722,Bug fixing / Maintenance,1
A-23723,Feature / Improvement Implementation,1
A-23724,Documentation,1
A-23725,Bug fixing / Maintenance,3
A-23726,Bug fixing / Maintenance,2
A-23727,Bug fixing / Maintenance,5
A-23727,Feature / Improvement Implementation,3
A-23728,Bug fixing / Maintenance,3
A-23729,Bug fixing / Maintenance,5
A-23729,Feature / Improvement Implementation,1
A-2373,Bug fixing / Maintenance,3
A-2373,Design & API Evolution,1
A-2373,Feature / Improvement Implementation,1
A-23730,Design & API Evolution,1
A-23732,Bug fixing / Maintenance,1
A-23734,Bug fixing / Maintenance,1
A-23735,Bug fixing / Maintenance,1
A-23739,Feature / Improvement Implementation,2
A-2374,Bug fixing / Maintenance,8
A-2374,Feature / Improvement Implementation,2
A-2374,Testing & Verification,1
A-23740,Bug fixing / Maintenance,1
A-23740,Build & Release Engineering,1
A-23743,Bug fixing / Maintenance,2
A-23743,Testing & Verification,1
A-23747,Bug fixing / Maintenance,1
A-2375,Bug fixing / Maintenance,2
A-23752,Bug fixing / Maintenance,1
A-23753,Bug fixing / Maintenance,1
A-23754,Bug fixing / Maintenance,1
A-23755,Bug fixing / Maintenance,1
A-23757,Bug fixing / Maintenance,1
A-23757,Feature / Improvement Implementation,1
A-23758,Bug fixing / Maintenance,1
A-2376,Bug fixing / Maintenance,4
A-2376,Other,1
A-2376,Performance Optimization,1
A-23760,Bug fixing / Maintenance,1
A-23762,Bug fixing / Maintenance,5
A-23767,Bug fixing / Maintenance,1
A-23768,Bug fixing / Maintenance,1
A-2377,Bug fixing / Maintenance,43
A-2377,Testing & Verification,17
A-2377,Other,15
A-2377,Feature / Improvement Implementation,13
A-2377,Build & Release Engineering,9
A-2377,Project / General Task,7
A-2377,Documentation,5
A-2377,Performance Optimization,2
A-23771,Other,10
A-23771,Bug fixing / Maintenance,1
A-23771,Project / General Task,1
A-23772,Feature / Improvement Implementation,1
A-23772,Other,1
A-23772,Performance Optimization,1
A-23773,Bug fixing / Maintenance,1
A-23775,Bug fixing / Maintenance,1
A-23779,Bug fixing / Maintenance,1
A-2378,Feature / Improvement Implementation,1
A-2378,Performance Optimization,1
A-23783,Feature / Improvement Implementation,1
A-23785,Bug fixing / Maintenance,2
A-23787,Bug fixing / Maintenance,3
A-23787,Feature / Improvement Implementation,2
A-23788,Feature / Improvement Implementation,3
A-2379,Bug fixing / Maintenance,1
A-2379,Feature / Improvement Implementation,1
A-23791,Bug fixing / Maintenance,1
A-23792,Bug fixing / Maintenance,1
A-23793,Build & Release Engineering,1
A-23793,Documentation,1
A-23795,Bug fixing / Maintenance,1
A-23796,Build & Release Engineering,1
A-23798,Bug fixing / Maintenance,2
A-23798,Feature / Improvement Implementation,1
A-23799,Bug fixing / Maintenance,5
A-238,Bug fixing / Maintenance,37
A-238,Testing & Verification,11
A-238,Feature / Improvement Implementation,6
A-238,Build & Release Engineering,2
A-238,Documentation,2
A-238,Other,1
A-238,Project / General Task,1
A-2380,Bug fixing / Maintenance,1
A-2380,Feature / Improvement Implementation,1
A-23803,Bug fixing / Maintenance,1
A-23804,Bug fixing / Maintenance,2
A-23806,Bug fixing / Maintenance,1
A-23808,Bug fixing / Maintenance,1
A-2381,Bug fixing / Maintenance,11
A-2381,Feature / Improvement Implementation,7
A-2381,Testing & Verification,2
A-2381,Build & Release Engineering,1
A-23810,Design & API Evolution,1
A-23813,Bug fixing / Maintenance,1
A-23814,Bug fixing / Maintenance,1
A-23815,Bug fixing / Maintenance,1
A-23817,Bug fixing / Maintenance,1
A-23817,Testing & Verification,1
A-2382,Bug fixing / Maintenance,1
A-23823,Bug fixing / Maintenance,1
A-23824,Bug fixing / Maintenance,2
A-23825,Bug fixing / Maintenance,1
A-23827,Bug fixing / Maintenance,2
A-23827,Build & Release Engineering,1
A-23827,Feature / Improvement Implementation,1
A-23828,Bug fixing / Maintenance,1
A-2383,Bug fixing / Maintenance,1
A-23830,Bug fixing / Maintenance,1
A-23831,Bug fixing / Maintenance,1
A-23834,Bug fixing / Maintenance,1
A-23835,Bug fixing / Maintenance,1
A-23838,Bug fixing / Maintenance,1
A-23839,Bug fixing / Maintenance,1
A-2384,Feature / Improvement Implementation,1
A-23841,Bug fixing / Maintenance,1
A-23841,Feature / Improvement Implementation,1
A-23844,Design & API Evolution,1
A-23846,Bug fixing / Maintenance,1
A-23847,Bug fixing / Maintenance,1
A-23848,Bug fixing / Maintenance,1
A-23849,Bug fixing / Maintenance,1
A-2385,Bug fixing / Maintenance,1
A-2385,Build & Release Engineering,1
A-23851,Documentation,1
A-23853,Bug fixing / Maintenance,1
A-23853,Feature / Improvement Implementation,1
A-23854,Bug fixing / Maintenance,10
A-23855,Bug fixing / Maintenance,1
A-23856,Bug fixing / Maintenance,1
A-23857,Build & Release Engineering,1
A-23859,Bug fixing / Maintenance,1
A-2386,Bug fixing / Maintenance,5
A-2386,Testing & Verification,1
A-23861,Bug fixing / Maintenance,2
A-23863,Testing & Verification,2
A-23863,Feature / Improvement Implementation,1
A-23867,Bug fixing / Maintenance,1
A-23869,Feature / Improvement Implementation,1
A-2387,Bug fixing / Maintenance,7
A-2387,Feature / Improvement Implementation,4
A-2387,Build & Release Engineering,1
