Assignee,total_tasks,num_skills,main_skill_tag,Bug fixing / Maintenance,Build & Release Engineering,Code Refactoring & Cleanup,Design & API Evolution,Documentation,Feature / Improvement Implementation,Other,Performance Optimization,Project / General Task,Testing & Verification
A-13469,8,1,Bug fixing / Maintenance,8,0,0,0,0,0,0,0,0,0
A-1347,30,4,Bug fixing / Maintenance,24,0,0,1,3,2,0,0,0,0
A-13470,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13471,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13472,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13473,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13474,5,2,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,1
A-13475,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13476,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13477,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13478,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13479,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-1348,27,5,Bug fixing / Maintenance,17,3,0,0,4,2,0,0,0,1
A-13481,5,2,Bug fixing / Maintenance,4,0,0,0,0,1,0,0,0,0
A-13482,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13483,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13484,5,2,Bug fixing / Maintenance,3,0,0,0,0,0,2,0,0,0
A-13485,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13486,2,2,Bug fixing / Maintenance,1,0,0,0,1,0,0,0,0,0
A-13487,10,3,Bug fixing / Maintenance,7,0,0,0,0,1,2,0,0,0
A-13488,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13489,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1349,35,6,Bug fixing / Maintenance,22,0,0,1,5,4,0,1,0,2
A-13490,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13492,4,2,Build & Release Engineering,1,3,0,0,0,0,0,0,0,0
A-13493,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13494,30,5,Bug fixing / Maintenance,14,1,0,0,8,5,0,0,0,2
A-13495,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13496,1,1,Build & Release Engineering,0,1,0,0,0,0,0,0,0,0
A-13497,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13498,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13499,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-135,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1350,48,5,Bug fixing / Maintenance,31,2,0,3,2,10,0,0,0,0
A-13500,4,2,Bug fixing / Maintenance,3,0,0,0,0,1,0,0,0,0
A-13502,8,2,Bug fixing / Maintenance,5,0,0,0,0,3,0,0,0,0
A-13503,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13504,4,2,Bug fixing / Maintenance,3,0,0,0,0,1,0,0,0,0
A-13505,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13506,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13509,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1351,13,4,Bug fixing / Maintenance,6,1,0,1,0,5,0,0,0,0
A-13510,5,2,Bug fixing / Maintenance,3,0,0,0,0,2,0,0,0,0
A-13511,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13512,3,3,Bug fixing / Maintenance,1,1,0,0,0,1,0,0,0,0
A-13513,8,2,Bug fixing / Maintenance,4,0,0,0,0,4,0,0,0,0
A-13514,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-13515,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13516,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13517,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13518,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13519,1,1,Performance Optimization,0,0,0,0,0,0,0,1,0,0
A-1352,8,2,Bug fixing / Maintenance,7,0,0,0,1,0,0,0,0,0
A-13520,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13523,5,3,Feature / Improvement Implementation,1,1,0,0,0,3,0,0,0,0
A-13524,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13525,3,2,Other,0,1,0,0,0,0,2,0,0,0
A-13527,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13528,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13529,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1353,9,5,Bug fixing / Maintenance,5,1,0,0,1,1,0,0,0,1
A-13530,14,2,Feature / Improvement Implementation,6,0,0,0,0,8,0,0,0,0
A-13531,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13532,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13534,4,2,Bug fixing / Maintenance,3,0,0,0,0,0,1,0,0,0
A-13535,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13536,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13537,3,1,Testing & Verification,0,0,0,0,0,0,0,0,0,3
A-13538,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13539,8,2,Bug fixing / Maintenance,7,0,0,0,0,1,0,0,0,0
A-1354,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13540,6,2,Bug fixing / Maintenance,5,0,0,0,0,1,0,0,0,0
A-13541,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13542,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13543,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13544,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13545,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13546,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13547,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13549,5,2,Bug fixing / Maintenance,3,0,0,0,0,2,0,0,0,0
A-1355,5,5,Bug fixing / Maintenance,1,0,0,1,1,1,1,0,0,0
A-13550,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-13551,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13552,4,3,Bug fixing / Maintenance,2,1,0,0,0,0,0,0,0,1
A-13553,7,1,Bug fixing / Maintenance,7,0,0,0,0,0,0,0,0,0
A-13554,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13555,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13556,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13559,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-1356,5,2,Feature / Improvement Implementation,2,0,0,0,0,3,0,0,0,0
A-13560,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13561,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13562,11,2,Other,3,0,0,0,0,0,8,0,0,0
A-13563,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13564,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13565,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13566,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13567,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13568,3,2,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,0,0
A-13569,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-1357,79,4,Bug fixing / Maintenance,69,3,0,0,4,3,0,0,0,0
A-13572,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13573,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13574,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13575,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13576,3,2,Bug fixing / Maintenance,2,0,0,0,0,0,0,1,0,0
A-13577,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13578,5,1,Bug fixing / Maintenance,5,0,0,0,0,0,0,0,0,0
A-13579,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-1358,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13580,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13581,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13582,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13584,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13585,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13586,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13587,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13588,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13589,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1359,2,2,Build & Release Engineering,0,1,0,0,1,0,0,0,0,0
A-13590,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13591,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13592,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13594,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13595,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13597,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13598,4,3,Bug fixing / Maintenance,2,1,0,0,0,1,0,0,0,0
A-13599,7,2,Bug fixing / Maintenance,6,0,0,0,0,1,0,0,0,0
A-136,1179,10,Bug fixing / Maintenance,707,40,12,21,23,60,201,11,4,100
A-1360,19,6,Bug fixing / Maintenance,8,1,0,0,2,5,1,0,0,2
A-13600,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13601,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13602,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-13603,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13604,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13605,1,1,Performance Optimization,0,0,0,0,0,0,0,1,0,0
A-13606,5,2,Bug fixing / Maintenance,4,0,0,0,0,0,0,1,0,0
A-13608,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13609,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-1361,3,2,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,0,0
A-13611,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13612,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13613,4,2,Bug fixing / Maintenance,3,0,0,0,0,1,0,0,0,0
A-13614,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13615,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13616,7,2,Bug fixing / Maintenance,6,0,0,1,0,0,0,0,0,0
A-13617,4,2,Bug fixing / Maintenance,2,0,0,0,0,2,0,0,0,0
A-13618,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13619,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1362,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13620,8,3,Bug fixing / Maintenance,4,2,0,0,2,0,0,0,0,0
A-13621,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13622,2,1,Feature / Improvement Implementation,0,0,0,0,0,2,0,0,0,0
A-13623,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13624,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13625,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13626,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13627,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13628,25,2,Bug fixing / Maintenance,23,0,0,0,0,2,0,0,0,0
A-13629,2,1,Testing & Verification,0,0,0,0,0,0,0,0,0,2
A-1363,3,2,Bug fixing / Maintenance,2,0,0,0,0,0,1,0,0,0
A-13630,5,2,Feature / Improvement Implementation,1,0,0,0,0,4,0,0,0,0
A-13631,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13632,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13633,13,3,Bug fixing / Maintenance,9,0,0,0,0,3,0,1,0,0
A-13634,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13635,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13636,2,2,Build & Release Engineering,0,1,0,0,0,1,0,0,0,0
A-13637,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13638,3,2,Other,1,0,0,0,0,0,2,0,0,0
A-13639,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-1364,74,6,Bug fixing / Maintenance,52,2,0,0,8,8,0,2,0,2
A-13640,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13641,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13642,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13643,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13644,19,2,Bug fixing / Maintenance,18,0,0,0,0,0,0,0,0,1
A-13645,1,1,Project / General Task,0,0,0,0,0,0,0,0,1,0
A-13646,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13647,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13648,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13649,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1365,13,4,Bug fixing / Maintenance,9,0,0,0,0,0,1,1,2,0
A-13650,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-13651,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13652,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13653,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13654,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13655,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13656,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13657,4,3,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,1,0
A-13658,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13659,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-1366,57,4,Bug fixing / Maintenance,42,0,0,0,9,2,0,0,0,4
A-13661,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13662,5,3,Bug fixing / Maintenance,3,0,0,1,0,1,0,0,0,0
A-13663,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13664,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13665,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13666,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13667,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13668,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13669,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1367,74,7,Bug fixing / Maintenance,40,4,0,11,2,14,0,1,0,2
A-13670,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13671,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13673,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-13674,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13675,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13677,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13678,2,2,Bug fixing / Maintenance,1,0,0,1,0,0,0,0,0,0
A-13679,4,3,Bug fixing / Maintenance,2,1,0,0,0,1,0,0,0,0
A-1368,43,3,Bug fixing / Maintenance,36,0,0,5,2,0,0,0,0,0
A-13680,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13683,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13684,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13685,1,1,Performance Optimization,0,0,0,0,0,0,0,1,0,0
A-13686,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13688,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-1369,60,5,Bug fixing / Maintenance,28,3,0,20,5,4,0,0,0,0
A-13690,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-13691,9,3,Bug fixing / Maintenance,5,0,0,0,1,3,0,0,0,0
A-13692,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13693,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13694,6,1,Bug fixing / Maintenance,6,0,0,0,0,0,0,0,0,0
A-13695,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13696,6,1,Bug fixing / Maintenance,6,0,0,0,0,0,0,0,0,0
A-13697,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13698,8,2,Bug fixing / Maintenance,5,0,0,0,0,3,0,0,0,0
A-13699,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-137,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1370,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13700,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13701,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13702,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-13703,4,2,Bug fixing / Maintenance,3,0,0,0,0,0,0,1,0,0
A-13704,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13705,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13706,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13707,5,1,Bug fixing / Maintenance,5,0,0,0,0,0,0,0,0,0
A-13708,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1371,2,2,Design & API Evolution,0,0,0,1,1,0,0,0,0,0
A-13710,4,2,Bug fixing / Maintenance,2,0,0,0,0,2,0,0,0,0
A-13711,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13712,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13713,17,3,Bug fixing / Maintenance,12,0,0,0,0,0,0,1,0,4
A-13714,4,2,Bug fixing / Maintenance,2,0,0,0,0,2,0,0,0,0
A-13715,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13717,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13718,4,4,Bug fixing / Maintenance,1,1,0,0,0,0,1,0,0,1
A-13719,8,3,Bug fixing / Maintenance,6,0,0,0,1,1,0,0,0,0
A-1372,7,3,Bug fixing / Maintenance,4,0,0,0,1,0,0,0,0,2
A-13720,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13721,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13722,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13723,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13724,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13725,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13726,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13727,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-13728,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13729,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-1373,19,2,Bug fixing / Maintenance,15,0,0,0,4,0,0,0,0,0
A-13730,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13731,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13732,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13733,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-13734,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13735,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13737,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13738,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1374,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13740,4,2,Feature / Improvement Implementation,1,0,0,0,0,3,0,0,0,0
A-13741,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13742,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13743,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13744,1,1,Build & Release Engineering,0,1,0,0,0,0,0,0,0,0
A-13745,2,1,Feature / Improvement Implementation,0,0,0,0,0,2,0,0,0,0
A-13746,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13747,7,4,Bug fixing / Maintenance,3,0,0,0,0,2,1,0,0,1
A-13748,1,1,Other,0,0,0,0,0,0,1,0,0,0
A-13749,11,3,Bug fixing / Maintenance,6,1,0,0,0,4,0,0,0,0
A-1375,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13750,6,2,Bug fixing / Maintenance,5,0,0,0,0,1,0,0,0,0
A-13751,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13752,3,2,Feature / Improvement Implementation,0,1,0,0,0,2,0,0,0,0
A-13753,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13755,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-13756,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13758,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13759,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-1376,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13760,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13761,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13762,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13763,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13765,5,2,Bug fixing / Maintenance,4,0,0,0,0,1,0,0,0,0
A-13766,6,2,Bug fixing / Maintenance,4,0,0,0,0,0,2,0,0,0
A-13767,1,1,Other,0,0,0,0,0,0,1,0,0,0
A-13768,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-13769,2,2,Bug fixing / Maintenance,1,1,0,0,0,0,0,0,0,0
A-1377,34,3,Bug fixing / Maintenance,22,5,0,0,0,7,0,0,0,0
A-13770,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-13771,2,2,Documentation,0,0,0,0,1,1,0,0,0,0
A-13772,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13773,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13775,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-13777,6,1,Bug fixing / Maintenance,6,0,0,0,0,0,0,0,0,0
A-13778,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13779,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-1378,10,2,Bug fixing / Maintenance,6,0,0,0,4,0,0,0,0,0
A-13780,4,3,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,1
A-13781,3,2,Bug fixing / Maintenance,2,0,0,1,0,0,0,0,0,0
A-13782,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13783,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13784,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13785,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13786,2,2,Bug fixing / Maintenance,1,0,0,1,0,0,0,0,0,0
A-13787,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13788,3,2,Bug fixing / Maintenance,2,0,0,1,0,0,0,0,0,0
A-1379,5,2,Bug fixing / Maintenance,3,0,0,0,2,0,0,0,0,0
A-13790,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-13791,2,2,Bug fixing / Maintenance,1,0,0,0,0,0,1,0,0,0
A-13794,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13795,31,5,Bug fixing / Maintenance,26,0,1,0,0,1,2,0,0,1
A-13796,4,2,Bug fixing / Maintenance,3,0,0,0,0,1,0,0,0,0
A-13797,43,8,Feature / Improvement Implementation,6,2,0,2,1,10,10,2,0,10
A-13799,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-138,2,2,Bug fixing / Maintenance,1,1,0,0,0,0,0,0,0,0
A-1380,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-13800,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13801,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-13802,1,1,Other,0,0,0,0,0,0,1,0,0,0
A-13803,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-13804,1,1,Performance Optimization,0,0,0,0,0,0,0,1,0,0
A-13805,4,2,Bug fixing / Maintenance,3,0,0,0,0,1,0,0,0,0
